ACC,pred_Membrane,pred_Cytoplasm,pred_Nucleus,pred_Extracellular,pred_Cell membrane,pred_Mitochondrion,pred_Plastid,pred_Endoplasmic reticulum,pred_Lysosome/Vacuole,pred_Golgi apparatus,pred_Peroxisome,pred_loc_Membrane,pred_loc_Cytoplasm,pred_loc_Nucleus,pred_loc_Extracellular,pred_loc_Cell membrane,pred_loc_Mitochondrion,pred_loc_Plastid,pred_loc_Endoplasmic reticulum,pred_loc_Lysosome/Vacuole,pred_loc_Golgi apparatus,pred_loc_Peroxisome,true_loc_Membrane,true_loc_Cytoplasm,true_loc_Nucleus,true_loc_Extracellular,true_loc_Cell membrane,true_loc_Mitochondrion,true_loc_Plastid,true_loc_Endoplasmic reticulum,true_loc_Lysosome/Vacuole,true_loc_Golgi apparatus,true_loc_Peroxisome
P86790,0.43359375,0.4609375,0.26953125,0.04736328,0.31835938,0.05493164,0.00077819824,0.30664062,0.8046875,0.671875,0.0023956299,True,True,False,False,False,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q9Y2Z0,0.15429688,0.625,0.609375,0.01586914,0.09423828,0.061035156,0.00021648407,0.5,0.35742188,0.2734375,0.011657715,False,True,True,False,False,False,False,False,False,False,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9HD20,0.87109375,0.19335938,0.09033203,0.021606445,0.51171875,0.119140625,0.0011672974,0.64453125,0.57421875,0.63671875,0.012023926,True,False,False,False,True,False,False,True,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Q6ATR0,0.044677734,0.31640625,0.8359375,0.029785156,0.056640625,0.10498047,0.005218506,0.061035156,0.037841797,0.003479004,0.010986328,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q6QNY1,0.31054688,0.45117188,0.41210938,0.06640625,0.080566406,0.080566406,0.0019302368,0.19433594,0.53125,0.21972656,0.05029297,False,True,False,False,False,False,False,False,True,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P52824,0.31835938,0.65234375,0.56640625,0.09277344,0.39453125,0.25195312,0.0030822754,0.31835938,0.29492188,0.32421875,0.020996094,False,True,False,False,False,False,False,False,False,False,False,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q6P5E8,0.34570312,0.703125,0.54296875,0.05102539,0.39453125,0.24609375,0.00592041,0.32226562,0.27148438,0.22363281,0.019165039,False,True,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q8CD10,0.6484375,0.13476562,0.1875,0.075683594,0.21191406,0.8828125,0.008605957,0.20898438,0.10107422,0.25195312,0.30859375,True,False,False,False,False,True,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q8IYU8,0.609375,0.15136719,0.203125,0.06738281,0.2109375,0.87109375,0.021240234,0.25195312,0.13476562,0.23242188,0.26367188,True,False,False,False,False,True,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
O35857,0.41601562,0.14941406,0.13183594,0.055908203,0.12158203,0.94921875,0.01361084,0.10107422,0.06298828,0.11767578,0.03112793,False,False,False,False,False,True,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
O35094,0.421875,0.14746094,0.13183594,0.05102539,0.12402344,0.94921875,0.012451172,0.10498047,0.06347656,0.12158203,0.027954102,True,False,False,False,False,True,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q9BSF4,0.6796875,0.1953125,0.14648438,0.061035156,0.087402344,0.89453125,0.27539062,0.5234375,0.14550781,0.41796875,0.18359375,True,False,False,False,False,True,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
O43615,0.41796875,0.15234375,0.14746094,0.049560547,0.119140625,0.94921875,0.010009766,0.106933594,0.06640625,0.12597656,0.027954102,False,False,False,False,False,True,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q2R1U8,0.16113281,0.1484375,0.26171875,0.11425781,0.06298828,0.15039062,0.77734375,0.060058594,0.03112793,0.052734375,0.07910156,False,False,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Q9H5N1,0.3203125,0.78125,0.32226562,0.07080078,0.30859375,0.2734375,0.004333496,0.18359375,0.34960938,0.625,0.026367188,False,True,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q8R0N6,0.29296875,0.17480469,0.15820312,0.03515625,0.14355469,0.93359375,0.020629883,0.07080078,0.072753906,0.11279297,0.07373047,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q4QQW3,0.29492188,0.17578125,0.16015625,0.03564453,0.14941406,0.93359375,0.020629883,0.072753906,0.071777344,0.10986328,0.07373047,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q8N1B4,0.6015625,0.60546875,0.2421875,0.030639648,0.3046875,0.083984375,0.0010986328,0.26757812,0.671875,0.76171875,0.012023926,True,True,False,False,False,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Q9Y2P7,0.13476562,0.24902344,0.6640625,0.0066833496,0.09277344,0.09814453,0.0010681152,0.04663086,0.06933594,0.022949219,0.045410156,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2APF3,0.07373047,0.17480469,0.80078125,0.004211426,0.053466797,0.041992188,0.008300781,0.041503906,0.03515625,0.06542969,0.0071105957,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q93Z17,0.33007812,0.08642578,0.19824219,0.031982422,0.059326172,0.95703125,0.25390625,0.043945312,0.03466797,0.057373047,0.018554688,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q9H1K1,0.2421875,0.21875,0.1484375,0.09423828,0.10107422,0.94140625,0.026733398,0.087402344,0.037841797,0.103515625,0.08154297,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q7Y0B9,0.119140625,0.7265625,0.640625,0.020385742,0.13964844,0.21972656,0.0066833496,0.083984375,0.16796875,0.2109375,0.0025482178,False,True,True,False,False,False,False,False,False,False,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P10109,0.23925781,0.15527344,0.17480469,0.08251953,0.125,0.91015625,0.012451172,0.06542969,0.040771484,0.06738281,0.056640625,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q8NCN4,0.05493164,0.34765625,0.9296875,0.04736328,0.08886719,0.07714844,0.004333496,0.025146484,0.032470703,0.03173828,0.011657715,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9WUI0,0.04272461,0.41992188,0.87109375,0.003829956,0.030639648,0.048095703,0.0025482178,0.03564453,0.09667969,0.055908203,0.010009766,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9CXF4,0.49023438,0.67578125,0.36914062,0.026000977,0.4453125,0.11767578,0.0029754639,0.22558594,0.35351562,0.26367188,0.14453125,True,True,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q92913,0.14355469,0.66015625,0.51171875,0.51171875,0.22167969,0.328125,0.0013275146,0.01586914,0.23339844,0.04663086,0.19042969,False,True,False,False,False,False,False,False,False,False,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q6ZN18,0.055908203,0.35546875,0.8203125,0.24902344,0.03466797,0.091308594,0.0026245117,0.19238281,0.029296875,0.091308594,0.0016479492,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9UJS0,0.81640625,0.25195312,0.12988281,0.026367188,0.44726562,0.78515625,0.103515625,0.18164062,0.15625,0.15234375,0.31054688,True,False,False,False,False,True,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q9UW98,0.08886719,0.14941406,0.080566406,0.87890625,0.068359375,0.078125,0.091308594,0.27539062,0.28320312,0.14941406,0.016357422,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P35613,0.859375,0.15820312,0.10498047,0.14746094,0.8828125,0.05834961,0.004760742,0.34179688,0.4296875,0.546875,0.05029297,True,False,False,False,True,False,False,False,False,False,False,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P18572,0.86328125,0.15917969,0.08886719,0.17480469,0.88671875,0.05834961,0.005065918,0.30664062,0.44335938,0.515625,0.030273438,True,False,False,False,True,False,False,False,False,False,False,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P24483,0.21875,0.16308594,0.19238281,0.10107422,0.11425781,0.92578125,0.0073547363,0.05834961,0.04736328,0.07910156,0.030273438,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
