ACC,pred_Membrane,pred_Cytoplasm,pred_Nucleus,pred_Extracellular,pred_Cell membrane,pred_Mitochondrion,pred_Plastid,pred_Endoplasmic reticulum,pred_Lysosome/Vacuole,pred_Golgi apparatus,pred_Peroxisome,pred_loc_Membrane,pred_loc_Cytoplasm,pred_loc_Nucleus,pred_loc_Extracellular,pred_loc_Cell membrane,pred_loc_Mitochondrion,pred_loc_Plastid,pred_loc_Endoplasmic reticulum,pred_loc_Lysosome/Vacuole,pred_loc_Golgi apparatus,pred_loc_Peroxisome,true_loc_Membrane,true_loc_Cytoplasm,true_loc_Nucleus,true_loc_Extracellular,true_loc_Cell membrane,true_loc_Mitochondrion,true_loc_Plastid,true_loc_Endoplasmic reticulum,true_loc_Lysosome/Vacuole,true_loc_Golgi apparatus,true_loc_Peroxisome
P82349,0.796875,0.15917969,0.34375,0.05029297,0.609375,0.025512695,0.0018081665,0.51171875,0.42578125,0.4296875,0.0075683594,True,False,False,False,True,False,False,False,False,False,False,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q7L5N1,0.09277344,0.44140625,0.4140625,0.10107422,0.025146484,0.34375,0.091308594,0.049560547,0.41015625,0.11767578,0.33203125,False,True,False,False,False,False,False,False,False,False,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P63086,0.26367188,0.5625,0.51171875,0.011657715,0.37109375,0.09814453,0.0023956299,0.11767578,0.14453125,0.099609375,0.19824219,False,True,True,False,False,False,False,False,False,False,False,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P21708,0.23535156,0.58203125,0.49414062,0.01361084,0.39257812,0.119140625,0.0029754639,0.10839844,0.09277344,0.08642578,0.12988281,False,True,True,False,False,False,False,False,False,False,False,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9NXW9,0.09033203,0.72265625,0.66796875,0.057373047,0.15625,0.47070312,0.014038086,0.15039062,0.064453125,0.24804688,0.037353516,False,True,True,False,False,False,False,False,False,False,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O75439,0.34960938,0.18847656,0.07470703,0.029296875,0.15625,0.93359375,0.03515625,0.07910156,0.03564453,0.14550781,0.11279297,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q6RFH5,0.05102539,0.2734375,0.92578125,0.00491333,0.049560547,0.083984375,0.0008049011,0.043945312,0.020019531,0.04345703,0.009155273,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q96T76,0.3125,0.50390625,0.6171875,0.020996094,0.22558594,0.15527344,0.014526367,0.20214844,0.42382812,0.4609375,0.061035156,False,True,True,False,False,False,False,False,False,False,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q99615,0.15136719,0.80859375,0.75390625,0.037841797,0.15820312,0.23339844,0.029296875,0.3984375,0.15820312,0.18359375,0.0057373047,False,True,True,False,False,False,False,False,False,False,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9D1M4,0.31835938,0.80859375,0.22558594,0.040771484,0.23632812,0.2890625,0.0061035156,0.123535156,0.39453125,0.51953125,0.38476562,False,True,False,False,False,False,False,False,False,False,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
