# Hyperparameter Configuration: BATCH_SIZE=256, REG_LOSS_MULT=0.05, SUP_LOSS_MULT=0.05
Category,Mean Variance,Std Deviation
Membrane,0.0027897647058823527,0.0032393614762804735
Cytoplasm,0.0022389947582993593,0.0022453345397105673
Nucleus,0.002523604135119394,0.002924555754172949
Extracellular,0.004319331624927199,0.007028307600579537
Cell membrane,0.002489811939429237,0.003687092958166261
Mitochondrion,0.00375961479324403,0.005127749778742531
Plastid,0.0020692829353523585,0.005415071544620853
Endoplasmic reticulum,0.0037220976121141525,0.00612689751531572
Lysosome/Vacuole,0.004437576528829354,0.005646517631499486
Golgi apparatus,0.00435064507862551,0.005866782175472933
Peroxisome,0.0062655075713453695,0.013218458962638974
