# Hyperparameter Configuration: BATCH_SIZE=256, REG_LOSS_MULT=0.01, SUP_LOSS_MULT=0.01
Metric,Value
Subset Accuracy,0.30809551543389635
Jaccard,0.44200155309648614
MicroF1,0.5161290322580645
MacroF1,0.25754752029946437
MCC_Membrane,0.0
MCC_Cytoplasm,0.269071314846101
MCC_Nucleus,0.4041866248783748
MCC_Extracellular,0.0
MCC_Cell membrane,0.319038507969994
MCC_Mitochondrion,0.6000176830727166
MCC_Plastid,0.0
MCC_Endoplasmic reticulum,0.18070781200673586
MCC_Lysosome/Vacuole,-0.0028649125309673576
MCC_Golgi apparatus,0.17225653535345464
MCC_Peroxisome,0.37508944175723186
