# Hyperparameter Configuration: BATCH_SIZE=128, REG_LOSS_MULT=0.01, SUP_LOSS_MULT=0.01
Category,Mean Variance,Std Deviation
Membrane,0.0031374292952824697,0.003960033532606581
Cytoplasm,0.0037584523005241705,0.0033036365801875117
Nucleus,0.0029695686662783933,0.0033708988305703727
Extracellular,0.004602735352358766,0.007594430883558179
Cell membrane,0.003561947990681421,0.0047449578390856345
Mitochondrion,0.004398406231799651,0.005705239746522925
Plastid,0.0019500851485148515,0.00508083499821953
Endoplasmic reticulum,0.0046316525917297615,0.008530739738034298
Lysosome/Vacuole,0.004718936342457775,0.006644616360056198
Golgi apparatus,0.004554526732673267,0.006282759330333463
Peroxisome,0.004279981362842167,0.010459282643007555
