# Hyperparameter Configuration: BATCH_SIZE=256, REG_LOSS_MULT=0.01, SUP_LOSS_MULT=0.01
Category,Mean Variance,Std Deviation
Membrane,0.003505446942341293,0.004996959668426063
Cytoplasm,0.002856415433896331,0.0025211790541624446
Nucleus,0.002562146476412347,0.002973487778619342
Extracellular,0.0044988112987769365,0.007396867371406311
Cell membrane,0.0031156064065230053,0.004583800055958036
Mitochondrion,0.0040791475829935935,0.004874718828784904
Plastid,0.002516136284216657,0.005871817893373618
Endoplasmic reticulum,0.0036727207338380897,0.006045202793091793
Lysosome/Vacuole,0.004355573791496797,0.005858920543618417
Golgi apparatus,0.004078619801980198,0.005200625046191677
Peroxisome,0.006905089283634247,0.012687887517758817
