ACC,pred_Membrane,pred_Cytoplasm,pred_Nucleus,pred_Extracellular,pred_Cell membrane,pred_Mitochondrion,pred_Plastid,pred_Endoplasmic reticulum,pred_Lysosome/Vacuole,pred_Golgi apparatus,pred_Peroxisome,pred_loc_Membrane,pred_loc_Cytoplasm,pred_loc_Nucleus,pred_loc_Extracellular,pred_loc_Cell membrane,pred_loc_Mitochondrion,pred_loc_Plastid,pred_loc_Endoplasmic reticulum,pred_loc_Lysosome/Vacuole,pred_loc_Golgi apparatus,pred_loc_Peroxisome,true_loc_Membrane,true_loc_Cytoplasm,true_loc_Nucleus,true_loc_Extracellular,true_loc_Cell membrane,true_loc_Mitochondrion,true_loc_Plastid,true_loc_Endoplasmic reticulum,true_loc_Lysosome/Vacuole,true_loc_Golgi apparatus,true_loc_Peroxisome
Q28165,0.08886719,0.65234375,0.73046875,0.05493164,0.16699219,0.10498047,0.00048828125,0.16796875,0.09423828,0.037353516,0.00048828125,False,True,True,False,False,False,False,False,False,False,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q86U42,0.08886719,0.6484375,0.7265625,0.059326172,0.16796875,0.10986328,0.00048828125,0.16894531,0.09423828,0.0390625,0.00048828125,False,True,True,False,False,False,False,False,False,False,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q96P70,0.15039062,0.55078125,0.7421875,0.0029754639,0.111328125,0.04663086,0.0024719238,0.059326172,0.13574219,0.20214844,0.0012054443,False,True,True,False,False,False,False,False,False,False,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q01167,0.03112793,0.33398438,0.96484375,0.040771484,0.033203125,0.01940918,0.0001487732,0.0073547363,0.014038086,0.030639648,8.4877014e-05,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q8BKC5,0.19335938,0.72265625,0.75390625,0.005554199,0.19238281,0.04736328,0.0015487671,0.03857422,0.06738281,0.1484375,0.00491333,False,True,True,False,False,False,False,False,False,False,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q3UCQ1,0.031982422,0.32421875,0.96484375,0.03857422,0.032470703,0.018554688,0.0001487732,0.008300781,0.01586914,0.03515625,8.4877014e-05,False,False,True,False,False,False,False,False,False,False,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9Y2U8,0.921875,0.1328125,0.33007812,0.0044555664,0.33203125,0.10498047,0.0073547363,0.84375,0.21875,0.5,0.046142578,True,False,False,False,False,False,False,True,False,False,False,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P82673,0.27148438,0.21875,0.24121094,0.055908203,0.10498047,0.83203125,0.04272461,0.09814453,0.075683594,0.103515625,0.0078125,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q9NX46,0.20214844,0.6171875,0.44335938,0.06347656,0.28125,0.5625,0.00048828125,0.08154297,0.12158203,0.13183594,0.004058838,False,True,False,False,False,False,False,False,False,False,False,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q6H3X3,0.52734375,0.25585938,0.20898438,0.24121094,0.5859375,0.17578125,0.0014572144,0.5234375,0.46484375,0.12988281,0.040283203,True,False,False,False,True,False,False,False,False,False,False,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
