Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
ENSP00000355743,Nucleus,Nuclear localization signal,0.2606000006198883,0.9728999733924866,0.03269999846816063,0.10779999941587448,0.02070000022649765,0.015699999406933784,0.05810000002384186,0.025800000876188278,0.017100000753998756,0.00039999998989515007
ENSP00000429628,Nucleus,,0.33239999413490295,0.5827999711036682,0.12620000541210175,0.20669999718666077,0.031599998474121094,0.004699999932199717,0.05909999832510948,0.09950000047683716,0.12559999525547028,0.0284000001847744
ENSP00000266544,Mitochondrion,Mitochondrial transit peptide,0.2062000036239624,0.08110000193119049,0.07490000128746033,0.12449999898672104,0.9388999938964844,0.027699999511241913,0.05889999866485596,0.05139999836683273,0.09239999949932098,0.015699999406933784
ENSP00000470652,Golgi apparatus,Transmembrane domain,0.11180000007152557,0.11490000039339066,0.05730000138282776,0.2851000130176544,0.3402000069618225,0.010900000110268593,0.4230000078678131,0.3138999938964844,0.7724999785423279,0.22609999775886536
ENSP00000460751,Nucleus,Nuclear localization signal,0.38440001010894775,0.7422000169754028,0.0966000035405159,0.16859999299049377,0.10530000180006027,0.0024999999441206455,0.11339999735355377,0.12200000137090683,0.09019999951124191,0.007799999788403511
ENSP00000485945,Extracellular,,0.3779999911785126,0.4505000114440918,0.8313999772071838,0.11270000040531158,0.11140000075101852,0.003800000064074993,0.024800000712275505,0.03180000185966492,0.04729999974370003,0.012900000438094139
ENSP00000472858,Nucleus,,0.41440001130104065,0.4758000075817108,0.43709999322891235,0.13570000231266022,0.47510001063346863,0.019200000911951065,0.03819999843835831,0.0210999995470047,0.06109999865293503,0.19930000603199005
ENSP00000398124,Nucleus,Nuclear export signal,0.4618000090122223,0.8944000005722046,0.0284000001847744,0.09290000051259995,0.17669999599456787,0.0071000000461936,0.07169999927282333,0.20550000667572021,0.08259999752044678,0.005200000014156103
ENSP00000430889,Cytoplasm|Nucleus,Nuclear export signal,0.636900007724762,0.8263000249862671,0.06939999759197235,0.11879999935626984,0.2425999939441681,0.0071000000461936,0.32679998874664307,0.15109999477863312,0.23420000076293945,0.038100000470876694
ENSP00000428877,Nucleus,Nuclear localization signal|Nuclear export signal,0.45739999413490295,0.8528000116348267,0.13030000030994415,0.1080000028014183,0.1264999955892563,0.0038999998942017555,0.11249999701976776,0.1451999992132187,0.20900000631809235,0.002099999925121665
ENSP00000394609,Cytoplasm,Nuclear export signal,0.7214999794960022,0.2930999994277954,0.04639999940991402,0.5184000134468079,0.1776999980211258,0.0066999997943639755,0.1809999942779541,0.25870001316070557,0.32499998807907104,0.012900000438094139
ENSP00000317992,Nucleus,Nuclear localization signal,0.2087000012397766,0.873199999332428,0.06030000001192093,0.05810000002384186,0.14319999516010284,0.007899999618530273,0.05739999935030937,0.06129999831318855,0.1386999934911728,0.01119999960064888
ENSP00000384925,Cytoplasm|Nucleus,Nuclear localization signal|Nuclear export signal,0.7843000292778015,0.5526999831199646,0.11159999668598175,0.34060001373291016,0.20069999992847443,0.039799999445676804,0.163100004196167,0.20329999923706055,0.23119999468326569,0.010599999688565731
ENSP00000460661,Nucleus,,0.4185999929904938,0.4975999891757965,0.3156000077724457,0.0828000009059906,0.30869999527931213,0.0044999998062849045,0.13770000636577606,0.09279999881982803,0.11159999668598175,0.015699999406933784
ENSP00000416644,Cytoplasm,,0.5569999814033508,0.47510001063346863,0.11270000040531158,0.12380000203847885,0.42239999771118164,0.03319999948143959,0.17299999296665192,0.13920000195503235,0.1500999927520752,0.03880000114440918
ENSP00000481500,Cytoplasm|Nucleus,Nuclear export signal,0.6133999824523926,0.5411999821662903,0.2345999926328659,0.07429999858140945,0.2401999980211258,0.013399999588727951,0.3301999866962433,0.42250001430511475,0.48730000853538513,0.11940000206232071
ENSP00000371061,Cytoplasm,,0.6018999814987183,0.450300008058548,0.18400000035762787,0.09269999712705612,0.23770000040531158,0.019099999219179153,0.453900009393692,0.33309999108314514,0.39989998936653137,0.10570000112056732
ENSP00000314004,Cytoplasm|Nucleus,Nuclear export signal,0.5837000012397766,0.5558000206947327,0.06109999865293503,0.11129999905824661,0.16269999742507935,0.005799999926239252,0.18250000476837158,0.5770999789237976,0.35030001401901245,0.03909999877214432
