ACC,pred_Membrane,pred_Cytoplasm,pred_Nucleus,pred_Extracellular,pred_Cell membrane,pred_Mitochondrion,pred_Plastid,pred_Endoplasmic reticulum,pred_Lysosome/Vacuole,pred_Golgi apparatus,pred_Peroxisome,pred_loc_Membrane,pred_loc_Cytoplasm,pred_loc_Nucleus,pred_loc_Extracellular,pred_loc_Cell membrane,pred_loc_Mitochondrion,pred_loc_Plastid,pred_loc_Endoplasmic reticulum,pred_loc_Lysosome/Vacuole,pred_loc_Golgi apparatus,pred_loc_Peroxisome,true_loc_Membrane,true_loc_Cytoplasm,true_loc_Nucleus,true_loc_Extracellular,true_loc_Cell membrane,true_loc_Mitochondrion,true_loc_Plastid,true_loc_Endoplasmic reticulum,true_loc_Lysosome/Vacuole,true_loc_Golgi apparatus,true_loc_Peroxisome
Q0GA42,0.8046875,0.2265625,0.11425781,0.03857422,0.6640625,0.16113281,0.0029754639,0.46484375,0.62890625,0.375,0.10839844,True,False,False,False,True,False,False,False,True,False,False,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9UID3,0.49609375,0.76953125,0.21289062,0.19238281,0.37304688,0.18359375,8.4877014e-05,0.22558594,0.58203125,0.48632812,0.014526367,True,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Q9SE42,0.46484375,0.75,0.34179688,0.0066833496,0.27539062,0.4921875,0.020019531,0.17773438,0.29101562,0.140625,0.025512695,True,True,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q7L5D6,0.31835938,0.54296875,0.5234375,0.10107422,0.115722656,0.04736328,0.0019302368,0.57421875,0.51171875,0.42382812,0.04345703,False,True,True,False,False,False,False,True,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9Y2K2,0.19726562,0.79296875,0.51171875,0.00592041,0.16210938,0.055908203,0.00091171265,0.09033203,0.044677734,0.16015625,0.00491333,False,True,True,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q96E14,0.06640625,0.625,0.77734375,0.012817383,0.055908203,0.69921875,0.0021209717,0.24121094,0.4140625,0.2734375,0.18261719,False,True,True,False,False,True,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q3TYA6,0.02758789,0.33984375,0.8515625,0.14941406,0.03515625,0.0061035156,0.020019531,0.029785156,0.01361084,0.0071105957,0.00013160706,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q8CH25,0.029785156,0.30859375,0.94921875,0.008850098,0.05834961,0.014526367,0.0022583008,0.020385742,0.003829956,0.0014572144,0.00014019012,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q92922,0.06298828,0.3515625,0.9609375,0.0066833496,0.080566406,0.025146484,0.0019302368,0.080566406,0.0020446777,0.003829956,0.00024604797,False,False,True,False,False,False,False,False,False,False,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q8K2M3,0.17285156,0.5546875,0.47265625,0.11767578,0.22558594,0.3515625,0.00010251999,0.18359375,0.103515625,0.13867188,0.0028839111,False,True,True,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
